CASEID_NEW,highest_degree_received,education,head_of_household_indicator,household_size,housing_type,household_income,marital_status,msa_status,region_4,region_9,own_rent,members_lt_2,members_13_to_17,members_gt_18,members_2_to_5,members_6_to_12,employment_status,has_internet_access,bg_survey_date,age,children_in_hh,next_next_year,gender,race,hispanic,out_of_closet,political_affiliation,born_again,religion,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight_couples_coresident,glb_status,same_gender_partner,partner_latino,partners_race,partner_born_again,partners_religion,partners_relgion_same_as_age_16,partners_religion_at_16,partners_highest_education,partners_mothers_highest_education,partners_political_affiliation,religion_same_as_age_16,religion_at_16,mothers_highest_education,most_time_spend_living_in,relatives_seen_per_month,gender_attraction,has_domestic_partnership,has_civil_union,no_domestic_partnership_or_civil_union,age_when_met,age_when_relationship_started,age_when_moved_in_together,age_married,age_when_domestic_partnership,who_earned_higher_income,attended_same_high_school,attended_same_college,grew_up_in_same_town,knew_parents_first,met_at_work,met_at_school,met_at_church,met_via_personal_ad,met_on_vacation,met_at_bar,mat_at social_club,met_at_private_party,met_at_other,met_at_other_text,met_using_internet,intro_by_family,intro_by_friend,intro_by_coworker,intro_by_classmates,intro_by_neighbor,intro_by_self,intro_by_other,intro_by_other_text,met_online,intro_summary_codes,how_met_online,same_gender_partner2,partner_gender,partner_gender2,age_difference,zip_pct_white,zip_pct_black,zip_pct_hispanic,zip_median_income,zip_pct_foreign_born,zip_rural,HOW_LONG_AGO_FIRST_MET_CAT,highest_earning_gender,same_religion,target_survey_dt,survey_date,marriage_count_combined,time_since_met,time_since_romantic,time_since_cohab,time_since_first_relationship,broke_up,acquainted_before_dated,lived_together_before_married,time_dating_until_married,time_met_until_married,time_met_until_dating,been_divorced,currently_married,living_together,income,couple_religion
2480586,associate degree,some college,1,2,a one-family house detached from any other house,"$175,000 or more",living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,not working - retired,1,2009-05-01,59.0,2.0,2011,female,"white, non-hispanic","no, i am not","yes, both",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",1695,1695,1695,2257,3014,2196,2196,986.5631714,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,bachelor's degree,hs graduate or ged,democrat,"no, i have changed religions",catholic,bachelor's degree,united states,5,only same gender,no,no,have neither dp nor cu,36,37.0,38, , ,we earned about the same amount,different high school,did not attend same college or university,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,yes,no,no,no,no,0,met offline,2,,same-sex couple,,female,9,80%-91.99%,1%-2.99%,2%-3.99%,$65k+,2%-4.99%,non rural,21-30,neither,false,2009-02-01,2011-04-01,1.0,24.161643835616438,23.161643835616438,22.161643835616438,23.161643835616438,0,1.0,,,,1.0,1,0,1,175000.0,both protestant
2485465,"some college, no degree",some college,0,2,a one-family house detached from any other house,"$35,000 to $39,999",never married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,not working - looking for work,0,2009-04-01,48.0,2.0,2011,male,"white, non-hispanic","no, i am not",no,republican,no,none,40524,40524,40524,40528,54052, , , ,0,,no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,hs graduate or ged,hs graduate or ged,no preference,"yes, the same",,"some college, no degree",united states,3,opposite gender only,no,no,have neither dp nor cu,30,44.0, , , ,partner earned more,different high school,,yes,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,2,,different sex couple,,female,1,80%-91.99%,3%-19.99%,2%-3.99%,$34000-$41999,<2%,non rural,16-20,female,false,2009-02-01,2011-05-01,0.0,18.243835616438357,4.243835616438356,,4.742465753424658,0,1.0,,,,14.0,0,0,0,37499.5,protestant/none
2485465,"some college, no degree",some college,0,2,a one-family house detached from any other house,"$30,000 to $34,999",never married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - self-employed,0,2011-08-01,50.0,2.0,2013,male,"white, non-hispanic","no, i am not",no,republican,no,none,40524,40524,40524,40528,54052, , , ,0,,no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,hs graduate or ged,hs graduate or ged,no preference,"yes, the same",,"some college, no degree",united states,3,opposite gender only,no,no,have neither dp nor cu,30,44.0, , , ,partner earned more,different high school,,yes,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,2,,different sex couple,,female,1,80%-91.99%,3%-19.99%,2%-3.99%,$34000-$41999,<2%,non rural,16-20,female,false,2011-05-01,2013-04-01,0.0,20.164383561643834,6.164383561643835,,6.663013698630137,0,1.0,,,,14.0,0,0,0,32499.5,protestant/none
2486245,bachelors degree,bachelor's degree or higher,1,3,a one-family house detached from any other house,"$75,000 to $84,999",living with partner,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,working - as a paid employee,1,2009-04-01,26.0,3.0,2011,female,"white, non-hispanic","no, i am not","yes, both",republican,no,catholic,54876,54876,54876,54855,73160, , ,29678.86914,0,,no (not latino or hispanic),white,no,catholic,"yes, the same",,"some college, no degree",refused,republican,"yes, the same",,hs graduate or ged,united states,35,opposite gender only,no,no,have neither dp nor cu,23,23.0,24, , ,partner earned more,different high school,did not attend same college or university,yes,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,1,,different sex couple,,male,0,<55%,20% or more,4%-19.99%,$34000-$41999,12%+,non rural,0-2,male,true,2009-02-01,2011-04-01,0.0,3.1616438356164385,3.1616438356164385,2.1616438356164385,3.66027397260274,0,0.0,,,,0.0,0,0,1,79999.5,both catholic
2486245,associate degree,some college,1,3,a building with 2 or more apartments,"$100,000 to $124,999",living with partner,metro,northeast,mid-atlantic,rented for cash,0,0,3,0,0,working - as a paid employee,1,2011-06-01,28.0,3.0,2013,female,"white, non-hispanic","no, i am not","yes, both",republican,no,catholic,54876,54876,54876,54855,73160, , ,29678.86914,0,,no (not latino or hispanic),white,no,catholic,"yes, the same",,"some college, no degree",refused,republican,"yes, the same",,hs graduate or ged,united states,35,opposite gender only,no,no,have neither dp nor cu,23,23.0,24, , ,partner earned more,different high school,did not attend same college or university,yes,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,1,,different sex couple,,male,0,<55%,20% or more,4%-19.99%,$34000-$41999,12%+,non rural,0-2,male,true,2011-04-01,2013-03-01,0.0,5.079452054794521,5.079452054794521,4.079452054794521,5.578082191780822,0,0.0,,,,0.0,0,0,1,112499.5,both catholic
2487583,high school graduate - high school diploma or the equivalent (ged),high school,1,1,a one-family house detached from any other house,"$50,000 to $59,999",divorced,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,1,0,0,working - as a paid employee,0,2009-05-01,60.0,1.0,2011,female,"white, non-hispanic","no, i am not","yes, both",democrat,no,catholic,76967,76967,76967,78016,104051, , , ,0,,no (not latino or hispanic),white,no,catholic,"yes, the same",,12th grade no diploma,"some college, no degree",independent,"yes, the same",,hs graduate or ged,united states,10,opposite gender only,no,no,have neither dp nor cu,50,50.0, , , ,partner earned more,different high school,,no,no,no,no,no,yes,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,no,yes,1,met offline,2,,different sex couple,,male,3,80%-91.99%,3%-19.99%,2%-3.99%,$65k+,5%-11.99%,non rural,6-10,male,true,2009-02-01,2011-04-01,1.0,10.161643835616438,10.161643835616438,,10.161643835616438,0,0.0,,,,0.0,1,0,0,54999.5,both catholic
2487583,high school graduate - high school diploma or the equivalent (ged),high school,1,2,a one-family house detached from any other house,"$100,000 to $124,999",living with partner,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2011-06-01,62.0,2.0,2013,female,"white, non-hispanic","no, i am not","yes, both",democrat,no,catholic,76967,76967,76967,78016,104051, , , ,0,,no (not latino or hispanic),white,no,catholic,"yes, the same",,12th grade no diploma,"some college, no degree",independent,"yes, the same",,hs graduate or ged,united states,10,opposite gender only,no,no,have neither dp nor cu,50,50.0, , , ,partner earned more,different high school,,no,no,no,no,no,yes,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,no,yes,1,met offline,2,,different sex couple,,male,3,80%-91.99%,3%-19.99%,2%-3.99%,$65k+,5%-11.99%,non rural,6-10,male,true,2011-04-01,2013-03-01,1.0,12.07945205479452,12.07945205479452,,12.07945205479452,0,0.0,,,,0.0,1,0,1,112499.5,both catholic
2488453,"some college, no degree",some college,1,2,a one-family house detached from any other house,"$7,500 to $9,999",divorced,non-metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,not working - on temporary layoff from a job,0,2009-04-01,47.0,2.0,2011,female,"2+ races, non-hispanic","no, i am not","yes, friends",other,yes,baptist - any denomination,26299,26299,26299,26444,35268, , ,14223.96484,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,hs graduate or ged,refused,"yes, the same",,10th grade,united states,3,opposite gender only,no,no,have neither dp nor cu,19,32.0,34, , ,partner earned more,different high school,,no,yes,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,4,,different sex couple,,male,10,92% and higher,<1%,<2%,<$34k,<2%,rural,21-30,male,true,2009-02-01,2011-07-01,2.0,28.410958904109588,15.41095890410959,13.41095890410959,15.41095890410959,0,1.0,,,,13.0,1,0,0,8749.5,both baptist
2488453,"some college, no degree",some college,1,1,a one-family house detached from any other house,"$12,500 to $14,999",divorced,non-metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,working - as a paid employee,0,2011-07-01,49.0,1.0,2013,female,"2+ races, non-hispanic","no, i am not","yes, friends",other,yes,baptist - any denomination,26299,26299,26299,26444,35268, , ,14223.96484,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,hs graduate or ged,refused,"yes, the same",,10th grade,united states,3,opposite gender only,no,no,have neither dp nor cu,19,32.0,34, , ,partner earned more,different high school,,no,yes,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,4,,different sex couple,,male,10,92% and higher,<1%,<2%,<$34k,<2%,rural,21-30,male,true,2011-07-01,2013-05-01,2.0,30.246575342465754,17.246575342465754,15.246575342465754,17.246575342465754,0,1.0,,,,13.0,1,0,0,13749.5,both baptist
2488453,"some college, no degree",some college,1,1,a one-family house detached from any other house,"$12,500 to $14,999",divorced,non-metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,working - as a paid employee,0,2013-03-01,50.0,1.0,2015,female,"2+ races, non-hispanic","no, i am not","yes, friends",other,yes,baptist - any denomination,26299,26299,26299,26444,35268, , ,14223.96484,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,hs graduate or ged,refused,"yes, the same",,10th grade,united states,3,opposite gender only,no,no,have neither dp nor cu,19,32.0,34, , ,partner earned more,different high school,,no,yes,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,4,,different sex couple,,male,10,92% and higher,<1%,<2%,<$34k,<2%,rural,21-30,male,true,2013-05-01,2015-03-01,2.0,32.07945205479452,19.07945205479452,17.07945205479452,19.07945205479452,0,1.0,,,,13.0,1,0,0,13749.5,both baptist
2489561,"some college, no degree",some college,1,1,a one-family house detached from any other house,"$100,000 to $124,999",married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,1,0,0,working - as a paid employee,0,2009-04-01,57.0,1.0,2011,male,"white, non-hispanic","no, i am not","yes, relatives",republican,yes,baptist - any denomination,232201,232201,232201,225113,300234, , ,121453.2578,0,,no (not latino or hispanic),white,yes,catholic,"no, has changed religions",baptist - any denomination,hs graduate or ged,7th or 8th grade,republican,"yes, the same",,hs graduate or ged,united states,11,opposite gender only,,,,35,35.0,35,36, ,i earned more,different high school,,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,1,,different sex couple,,female,5,55%-79.99%,20% or more,2%-3.99%,$34000-$41999,2%-4.99%,non rural,21-30,male,false,2009-02-01,2011-05-01,4.0,23.243835616438357,23.243835616438357,23.243835616438357,23.243835616438357,0,0.0,1.0,1.0,1.0,0.0,1,1,1,112499.5,catholic/baptist
2490501,high school graduate - high school diploma or the equivalent (ged),high school,1,2,a one-family house detached from any other house,"$50,000 to $59,999",married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,working - self-employed,1,2009-05-01,52.0,2.0,2011,male,"black, non-hispanic","no, i am not",no,democrat,yes,baptist - any denomination,42278,42278,42278,41116,54837, , ,22185.38086,0,,no (not latino or hispanic),black or african american,yes,baptist - any denomination,"yes, the same",,bachelor's degree,7th or 8th grade,democrat,"yes, the same",,hs graduate or ged,united states,8,opposite gender only,,,,20,23.0,24,24, ,we earned about the same amount,different high school,,no,no,no,no,yes,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,yes,no,0,met offline,3,,different sex couple,,female,1,<55%,20% or more,2%-3.99%,<$34k,2%-4.99%,non rural,21-30,neither,true,2009-02-01,2011-04-01,1.0,32.16164383561644,29.161643835616438,28.161643835616438,29.161643835616438,0,1.0,0.0,1.0,4.0,3.0,0,1,1,54999.5,both baptist
2490501,high school graduate - high school diploma or the equivalent (ged),high school,1,2,a one-family house detached from any other house,"$40,000 to $49,999",married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,working - self-employed,1,2011-07-01,54.0,2.0,2013,male,"black, non-hispanic","no, i am not",no,democrat,yes,baptist - any denomination,42278,42278,42278,41116,54837, , ,22185.38086,0,,no (not latino or hispanic),black or african american,yes,baptist - any denomination,"yes, the same",,bachelor's degree,7th or 8th grade,democrat,"yes, the same",,hs graduate or ged,united states,8,opposite gender only,,,,20,23.0,24,24, ,we earned about the same amount,different high school,,no,no,no,no,yes,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,yes,no,0,met offline,3,,different sex couple,,female,1,<55%,20% or more,2%-3.99%,<$34k,2%-4.99%,non rural,21-30,neither,true,2011-04-01,2013-03-01,1.0,34.07945205479452,31.07945205479452,30.07945205479452,31.07945205479452,0,1.0,0.0,1.0,4.0,3.0,0,1,1,44999.5,both baptist
2491261,high school graduate - high school diploma or the equivalent (ged),high school,1,4,a one-family house detached from any other house,"$40,000 to $49,999",married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,1,1,working - as a paid employee,1,2009-04-01,28.0,4.0,2011,female,"white, non-hispanic","no, i am not",no,republican,yes,baptist - any denomination,99766,99766,99766,100347,133833, , ,52182.60547,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,5th or 6th grade,republican,"yes, the same",,hs graduate or ged,united states,5,opposite gender only,,,,16,16.0,18,18, ,partner earned more,same high school,,yes,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,yes,no,no,no,0,met offline,3,,different sex couple,,male,0,92% and higher,3%-19.99%,<2%,$34000-$41999,<2%,non rural,6-10,male,true,2009-02-01,2011-04-01,1.0,12.161643835616438,12.161643835616438,10.161643835616438,12.161643835616438,0,0.0,0.0,2.0,2.0,0.0,0,1,1,44999.5,both baptist
2491261,high school graduate - high school diploma or the equivalent (ged),high school,1,4,a one-family house detached from any other house,"$35,000 to $39,999",married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,2,not working - other,1,2011-06-01,30.0,4.0,2013,female,"white, non-hispanic","no, i am not",no,republican,yes,baptist - any denomination,99766,99766,99766,100347,133833, , ,52182.60547,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,5th or 6th grade,republican,"yes, the same",,hs graduate or ged,united states,5,opposite gender only,,,,16,16.0,18,18, ,partner earned more,same high school,,yes,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,yes,no,no,no,0,met offline,3,,different sex couple,,male,0,92% and higher,3%-19.99%,<2%,$34000-$41999,<2%,non rural,6-10,male,true,2011-04-01,2013-03-01,1.0,14.07945205479452,14.07945205479452,12.07945205479452,14.07945205479452,0,0.0,0.0,2.0,2.0,0.0,0,1,1,37499.5,both baptist
2492401,bachelors degree,bachelor's degree or higher,1,4,a one-family house detached from any other house,"$100,000 to $124,999",married,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,1,1,working - as a paid employee,1,2009-04-01,41.0,4.0,2011,female,"white, non-hispanic","no, i am not","yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",40982,40982,40982,39340,52467, , ,21435.63477,0,,no (not latino or hispanic),white,no,other christian,"yes, the same",,bachelor's degree,hs graduate or ged,independent,"yes, the same",,hs graduate or ged,united states,8,opposite gender only,,,,26,26.0,28,30, ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,yes,no,no,no,no,0,met offline,3,,different sex couple,,male,0,80%-91.99%,1%-2.99%,2%-3.99%,$65k+,12%+,non rural,11-15,female,false,2009-02-01,2011-04-01,1.0,16.161643835616438,16.161643835616438,14.161643835616438,16.161643835616438,0,0.0,1.0,4.0,4.0,0.0,0,1,1,112499.5,protestant/other christian
2492401,bachelors degree,bachelor's degree or higher,1,4,a one-family house detached from any other house,"$100,000 to $124,999",married,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,1,1,working - as a paid employee,1,2011-07-01,43.0,4.0,2013,female,"white, non-hispanic","no, i am not","yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",40982,40982,40982,39340,52467, , ,21435.63477,0,,no (not latino or hispanic),white,no,other christian,"yes, the same",,bachelor's degree,hs graduate or ged,independent,"yes, the same",,hs graduate or ged,united states,8,opposite gender only,,,,26,26.0,28,30, ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,yes,no,no,no,no,0,met offline,3,,different sex couple,,male,0,80%-91.99%,1%-2.99%,2%-3.99%,$65k+,12%+,non rural,11-15,female,false,2011-04-01,2013-03-01,1.0,18.07945205479452,18.07945205479452,16.07945205479452,18.07945205479452,0,0.0,1.0,4.0,4.0,0.0,0,1,1,112499.5,protestant/other christian
2494291,bachelors degree,bachelor's degree or higher,1,4,a one-family house detached from any other house,"$85,000 to $99,999",married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,2,0,working - as a paid employee,1,2009-04-01,31.0,4.0,2011,male,"white, non-hispanic","no, i am not",no,republican,no,mormon,60171,60171,60171,61673,82253, , ,31472.96484,0,,no (not latino or hispanic),white,no,mormon,"yes, the same",,"some college, no degree","some college, no degree",republican,"yes, the same",,bachelor's degree,united states,9,opposite gender only,,,,24,24.0,25,25, ,i earned more,different high school,did not attend same college or university,no,no,no,no,yes,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,, ,,different sex couple,,female,4,92% and higher,<1%,2%-3.99%,$42000-$64999,2%-4.99%,non rural,3-5,male,true,2009-02-01,2011-05-01,1.0,7.243835616438356,7.243835616438356,6.243835616438356,7.243835616438356,0,0.0,0.0,1.0,1.0,0.0,0,1,1,92499.5,other same
2496271,bachelors degree,bachelor's degree or higher,1,5,a one-family house detached from any other house,"$35,000 to $39,999",married,metro,midwest,west-north central,owned or being bought by you or someone in your household,1,0,2,1,1,working - as a paid employee,1,2009-04-01,28.0,5.0,2011,male,"white, non-hispanic","no, i am not",i would prefer to not answer this question,republican,yes,other christian,58799,58799,58799,57869,77180, , ,30755.33984,0,,no (not latino or hispanic),white,yes,other christian,"yes, the same",,bachelor's degree,bachelor's degree,republican,"yes, the same",,hs graduate or ged,united states,6,opposite gender only,,,,19,19.0,20,20, ,i earned more,different high school,attended same college or university,no,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,2,,different sex couple,,female,1,92% and higher,<1%,<2%,$42000-$64999,<2%,non rural,6-10,male,true,2009-02-01,2011-04-01,1.0,10.161643835616438,10.161643835616438,9.161643835616438,10.161643835616438,0,0.0,0.0,1.0,1.0,0.0,0,1,1,37499.5,both other christian
2499671,associate degree,some college,1,2,a one-family house detached from any other house,"$150,000 to $174,999",married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,not working - looking for work,1,2009-04-01,69.0,2.0,2011,female,"white, non-hispanic","no, i am not",no,republican,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",58476,58476,58476,55513,74038, , ,30585.87109,0,,no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,bachelor's degree,hs graduate or ged,republican,"yes, the same",,hs graduate or ged,united states,11,opposite gender only,,,,13,13.0,22,22, ,partner earned more,same high school,did not attend same college or university,no,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,yes,no,no,no,0,met offline,1,,different sex couple,,male,1,92% and higher,1%-2.99%,<2%,$42000-$64999,2%-4.99%,non rural,31+,male,false,2009-02-01,2011-04-01,1.0,56.16164383561644,56.16164383561644,47.16164383561644,56.16164383561644,0,0.0,0.0,9.0,9.0,0.0,0,1,1,162499.5,both protestant
2499671,associate degree,some college,1,2,a one-family house detached from any other house,"$175,000 or more",married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,not working - retired,1,2011-07-01,71.0,2.0,2013,female,"white, non-hispanic","no, i am not",no,republican,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",58476,58476,58476,55513,74038, , ,30585.87109,0,,no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,bachelor's degree,hs graduate or ged,republican,"yes, the same",,hs graduate or ged,united states,11,opposite gender only,,,,13,13.0,22,22, ,partner earned more,same high school,did not attend same college or university,no,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,yes,no,no,no,0,met offline,1,,different sex couple,,male,1,92% and higher,1%-2.99%,<2%,$42000-$64999,2%-4.99%,non rural,31+,male,false,2011-04-01,2013-03-01,1.0,58.07945205479452,58.07945205479452,49.07945205479452,58.07945205479452,0,0.0,0.0,9.0,9.0,0.0,0,1,1,175000.0,both protestant
2500281,bachelors degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$40,000 to $49,999",married,metro,west,mountain,rented for cash,0,0,2,0,0,working - as a paid employee,0,2009-06-01,29.0,2.0,2011,female,"black, non-hispanic","no, i am not",no,democrat,yes,pentecostal,175170,175170,175170,184944,246661, , ,91920.46094,0,,no (not latino or hispanic),black or african american,yes,pentecostal,"no, has changed religions",none,"some college, no degree",hs graduate or ged,republican,"yes, the same",,bachelor's degree,united states,7,opposite gender only,,,,25,25.0,25,25, ,i earned more,different high school,attended same college or university,no,no,no,no,yes,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,different sex couple,,male,2,55%-79.99%,<1%,4%-19.99%,$42000-$64999,5%-11.99%,non rural,3-5,female,true,2009-02-01,2011-04-01,1.0,5.161643835616438,5.161643835616438,5.161643835616438,6.161643835616438,0,0.0,0.0,0.0,0.0,0.0,0,1,1,44999.5,other same
2503411,high school graduate - high school diploma or the equivalent (ged),high school,1,4,a building with 2 or more apartments,"$40,000 to $49,999",married,metro,west,pacific,rented for cash,0,1,3,0,0,not working - looking for work,1,2009-04-01,42.0,4.0,2011,female,hispanic,"yes, other spanish/hispanic/latino",no,republican,yes,other christian,92045,92045,92045,91059,121446, , ,74437.60156,0,,"yes, other latino/hispanic",other (please specify),yes,other christian,"yes, the same",,associate degree,hs graduate or ged,republican,"no, i have changed religions",catholic,hs graduate or ged,united states,5,opposite gender only,,,,18,20.0,21,23, ,partner earned more,same high school,,yes,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,1,,different sex couple,,male,1,<55%,3%-19.99%,20%+,$42000-$64999,12%+,non rural,21-30,male,true,2009-02-01,2011-05-01,1.0,25.243835616438357,23.243835616438357,22.243835616438357,23.243835616438357,0,1.0,1.0,3.0,5.0,2.0,0,1,1,44999.5,both other christian
2504476,professional or doctorate degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$85,000 to $99,999",living with partner,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,0,2009-04-01,48.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,catholic,2292,2292,2292,2082,2781,1807,1807,1524.867554,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"yes, the same",,professional or doctorate degree,master's degree,democrat,"no, i have changed religions",none,bachelor's degree,united states,0,same gender mostly,yes,no,have either dp or cu,33,34.0,37, ,43,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,3,80%-91.99%,1%-2.99%,<2%,$34000-$41999,5%-11.99%,non rural,11-15,male,false,2009-02-01,2011-04-01,1.0,16.161643835616438,15.161643835616438,12.161643835616438,15.161643835616438,0,1.0,,,,1.0,1,0,1,92499.5,none/catholic
2504476,professional or doctorate degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$100,000 to $124,999",living with partner,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,0,2011-07-01,51.0,2.0,2013,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,catholic,2292,2292,2292,2082,2781,1807,1807,1524.867554,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"yes, the same",,professional or doctorate degree,master's degree,democrat,"no, i have changed religions",none,bachelor's degree,united states,0,same gender mostly,yes,no,have either dp or cu,33,34.0,37, ,43,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,3,80%-91.99%,1%-2.99%,<2%,$34000-$41999,5%-11.99%,non rural,11-15,male,false,2011-04-01,2013-03-01,1.0,18.07945205479452,17.07945205479452,14.07945205479452,17.07945205479452,0,1.0,,,,1.0,1,0,1,112499.5,none/catholic
2505436,masters degree,bachelor's degree or higher,0,2,a one-family house detached from any other house,"$60,000 to $74,999",living with partner,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-04-01,44.0,2.0,2011,female,"white, non-hispanic","no, i am not","yes, friends",democrat,no,none,3414,3414,3414,6343,8473,6254,6254,1985.923828,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"yes, the same",,master's degree,"some college, no degree",democrat,"no, i have changed religions","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",hs graduate or ged,united states,2,only same gender,no,no,have neither dp nor cu,22,22.0,23, , ,partner earned more,different high school,attended same college or university,no,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,no,yes,1,met offline,2,,same-sex couple,,female,1,<55%,20% or more,2%-3.99%,$34000-$41999,2%-4.99%,non rural,21-30,male,true,2009-02-01,2011-04-01,0.0,23.161643835616438,23.161643835616438,22.161643835616438,23.161643835616438,0,0.0,,,,0.0,0,0,1,67499.5,both none
